Culture,OCM,Frequency,Proportion_of_Passages
Akan,159,38,0.3064516129032258
Akan,778,25,0.20161290322580644
Akan,784,13,0.10483870967741936
Akan,755,11,0.08870967741935484
Akan,793,9,0.07258064516129033
Akan,164,8,0.06451612903225806
Akan,787,8,0.06451612903225806
Akan,796,7,0.056451612903225805
Akan,158,7,0.056451612903225805
Akan,593,7,0.056451612903225805
Akan,756,6,0.04838709677419355
Akan,774,6,0.04838709677419355
Akan,761,6,0.04838709677419355
Akan,533,5,0.04032258064516129
Akan,123,5,0.04032258064516129
Akan,855,5,0.04032258064516129
Akan,769,5,0.04032258064516129
Akan,743,4,0.03225806451612903
Akan,114,4,0.03225806451612903
Akan,634,4,0.03225806451612903
Akan,782,4,0.03225806451612903
Akan,531,4,0.03225806451612903
Akan,465,4,0.03225806451612903
Akan,783,3,0.024193548387096774
Akan,152,3,0.024193548387096774
Akan,121,3,0.024193548387096774
Akan,825,3,0.024193548387096774
Akan,826,3,0.024193548387096774
Akan,304,2,0.016129032258064516
Akan,773,2,0.016129032258064516
Akan,789,2,0.016129032258064516
Akan,173,2,0.016129032258064516
Akan,301,2,0.016129032258064516
Akan,786,2,0.016129032258064516
Akan,631,2,0.016129032258064516
Akan,828,2,0.016129032258064516
Akan,535,2,0.016129032258064516
Akan,771,2,0.016129032258064516
Akan,643,2,0.016129032258064516
Akan,646,2,0.016129032258064516
Akan,614,2,0.016129032258064516
Akan,776,2,0.016129032258064516
Akan,775,1,0.008064516129032258
Akan,886,1,0.008064516129032258
Akan,688,1,0.008064516129032258
Akan,578,1,0.008064516129032258
Akan,276,1,0.008064516129032258
Akan,764,1,0.008064516129032258
Akan,352,1,0.008064516129032258
Akan,694,1,0.008064516129032258
Akan,607,1,0.008064516129032258
Akan,231,1,0.008064516129032258
Akan,797,1,0.008064516129032258
Akan,558,1,0.008064516129032258
Akan,312,1,0.008064516129032258
Akan,852,1,0.008064516129032258
Akan,581,1,0.008064516129032258
Akan,582,1,0.008064516129032258
Akan,763,1,0.008064516129032258
Akan,833,1,0.008064516129032258
Akan,613,1,0.008064516129032258
Akan,183,1,0.008064516129032258
Akan,291,1,0.008064516129032258
Akan,827,1,0.008064516129032258
Akan,757,1,0.008064516129032258
Akan,759,1,0.008064516129032258
Akan,829,1,0.008064516129032258
Akan,837,1,0.008064516129032258
Akan,171,1,0.008064516129032258
Akan,684,1,0.008064516129032258
Akan,881,1,0.008064516129032258
Akan,142,1,0.008064516129032258
Akan,841,1,0.008064516129032258
Akan,534,1,0.008064516129032258
Akan,584,1,0.008064516129032258
Akan,602,1,0.008064516129032258
